entry_timestamp,asset,market_id,side,yes_price_at_entry,no_price_at_entry,side_price_at_entry,external_price_move,external_return_5s,external_return_15s,external_return_30s,external_return_60s,momentum,quote_age_seconds,repricing_velocity,repricing_acceleration,spread_compression,book_imbalance,cross_asset_movement,time_to_expiry_seconds,lag_score,polymarket_price_move_after_30s,polymarket_price_move_after_60s,polymarket_price_move_after_120s,polymarket_price_move_after_180s,max_favorable_excursion,max_adverse_excursion,time_to_repricing_seconds,simulated_exit_timestamp,simulated_exit_seconds,simulated_exit_price,simulated_exit_reason,simulated_pnl_before_slippage,simulated_pnl_after_slippage,repriced_favorably,source_session
2026-06-23T13:31:45.901851+00:00,ETH,0xf7283f103a574fb192a1e9dee5a2febf1cb3063b8a1740173fa0a2a300897142,YES,0.465,0.535,0.465,0.00080626,0.0012250591303293312,0.0029159478045344134,0.0022462087638566164,0.0014862266222619436,0.0014297211822724698,2.050851,-0.01745830084842353,-0.024996100876103523,-0.04999999999999999,0.0041353409757526015,0.16000000000000003,194.098149,0.251957,0.52,0.52,0.52,,0.5305,0.0,2.006074,2026-06-23T13:31:47.907925+00:00,2.006074,0.665,repricing_target,0.2,0.18000000000000002,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T13:35:13.907485+00:00,BTC,0x88dbe7f8d0445d72614b6ad7da6b35ceb2cb32fb98b52d78c84eacf420ee1f09,NO,0.375,0.625,0.625,-0.00083448,0.00017461530417195448,-0.0006806901790740172,-0.0007382679591705354,-0.0016674152049859225,0.0009867250259119054,1.219485,0.01993994089801517,0.007455157086805612,-0.0,-0.0012541286044107812,0.06,286.092515,0.260776,-0.36,-0.15000000000000002,-0.10999999999999999,,0.050000000000000044,-0.37,,2026-06-23T13:35:17.903548+00:00,3.996063,0.595,stop_loss,-0.030000000000000027,-0.05000000000000003,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T13:35:17.903548+00:00,ETH,0xd68e42d84a189dae829a6ea4842f2da8c132141897e3f6c1cbb9806b63d5d6a6,NO,0.41,0.59,0.59,-0.00089249,0.000380393435496007,-0.0008924856327904296,-0.0008744105266966784,-0.0021621296073236485,0.0012696439745332189,1.301548,0.019939354453429883,0.002424538793339844,5.551115123125783e-17,-0.019682689124001732,0.07499999999999996,282.096452,0.278902,-0.19499999999999995,-0.015000000000000013,0.04500000000000004,,0.265,-0.20499999999999996,,2026-06-23T13:35:23.905501+00:00,6.001953,0.555,stop_loss,-0.03499999999999992,-0.054999999999999924,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T13:36:07.894800+00:00,ETH,0xd68e42d84a189dae829a6ea4842f2da8c132141897e3f6c1cbb9806b63d5d6a6,NO,0.405,0.595,0.595,-0.00088646,-0.0009346527011462324,-0.001945724526369652,-0.0016570557433551736,0.0007248040009180112,-0.0026705285272876633,1.9008,-0.030140878465949848,-0.015141209244985987,-0.0,-0.05487489778302745,0.15999999999999992,232.1052,0.277017,0.050000000000000044,0.050000000000000044,0.12,,0.27,-0.10999999999999999,2.005506,2026-06-23T13:36:09.900306+00:00,2.005506,0.625,repricing_target,0.030000000000000027,0.010000000000000026,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T13:40:05.896179+00:00,SOL,0x97f5cfd13442b025c62c1138ebc86dabde8d73ef9b8c2b4f0900727b23e3d78e,NO,0.495,0.505,0.505,-0.00086894,-0.0010136113524472634,-0.0017363623209376566,-0.0024580682475419113,-0.0017363623209376566,0.0,2.047179,0.0,,-0.0,0.01295443340190696,0.03999999999999998,294.103821,0.271542,-0.065,0.12,0.24,,0.4,-0.10999999999999999,2.007045,2026-06-23T13:40:07.903224+00:00,2.007045,0.675,repricing_target,0.17000000000000004,0.15000000000000005,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T13:47:23.894921+00:00,SOL,0x263de59a86fa4266a26931b6a723d1d8521d1385b5c3ba159b5229b1a9177f21,YES,0.33,0.67,0.33,0.00101567,0.0005801305293688941,0.001596980255516911,0.0018878884693580567,0.001596980255516911,0.0,2.009921,0.002513398929694202,-0.003748295256906617,-0.010000000000000009,-0.07267631785168162,0.15500000000000003,156.105079,0.317397,0.24499999999999994,0.595,0.47500000000000003,,0.655,0.0,2.007544,2026-06-23T13:47:25.902465+00:00,2.007544,0.385,repricing_target,0.05499999999999999,0.03499999999999999,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:19:15.892583+00:00,BTC,0xef16fc8b2b2338e6f703f4036d1bccf15742345781881fb477079de0a8060f4d,NO,0.755,0.245,0.245,-0.00103726,-0.0007285031847134027,-0.0008557827028403686,-0.0010372590255146585,-0.0006069209693663202,-0.0002488617334740484,2.068583,-0.030141347850746045,-0.017646451476974582,-1.1102230246251565e-16,0.22459043957992175,0.22999999999999998,44.107417,0.324143,-0.22,,,,0.14,-0.22,2.006053,2026-06-23T14:19:17.898636+00:00,2.006053,0.385,repricing_target,0.14,0.12000000000000001,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:19:21.893969+00:00,BTC,0xef16fc8b2b2338e6f703f4036d1bccf15742345781881fb477079de0a8060f4d,NO,0.715,0.285,0.285,-0.00104012,-2.8683316269928483e-06,-0.0007313694267515602,-0.0009857362751107823,-0.0005087120522550004,-0.00022265737449655987,2.053969,0.020099250096978844,-0.004935781829163912,0.019999999999999907,0.22002627550940232,0.355,38.106031,0.325039,-0.25999999999999995,,,,0.040000000000000036,-0.25999999999999995,2.006075,2026-06-23T14:19:23.900044+00:00,2.006075,0.325,repricing_target,0.040000000000000036,0.020000000000000035,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:24:05.902239+00:00,SOL,0x456aac20ee93fa9ebc9e8dc3367bd4ea281d62318f8eb63fea5c0f1aa44525ee,NO,0.015,0.985,0.985,-0.00100835,-0.0007204610951010437,-0.0007204610951010437,-0.0004324012683770695,-0.0004324012683770695,-0.00028805982672397423,16.128239,0.0,0.0,-0.0,-0.9958210045335737,0.0,54.097761,0.315111,0.010500000000000065,,,,0.011500000000000066,0.0,,2026-06-23T14:24:57.895074+00:00,51.992835,0.9965,timeout,0.011500000000000066,-0.008499999999999935,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:29:07.893165+00:00,SOL,0x8745035c936db62e58a8fe8d2cc737689ce85b84d9b91959417caa1142791994,YES,0.085,0.915,0.085,0.00086743,0.00014446691707603598,0.0007227522405319764,0.0008674280757554609,0.0013017066820943946,-0.0005789544415624182,2.034165,-0.0050242975027231665,-0.012546698021521436,1.3877787807814457e-17,-0.34890893774867465,0.41,52.106835,0.271071,0.49999999999999994,,,,0.74,0.0,10.011363,2026-06-23T14:29:17.904528+00:00,10.011363,0.135,repricing_target,0.05,0.030000000000000002,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
