entry_timestamp,asset,market_id,side,yes_price_at_entry,no_price_at_entry,side_price_at_entry,external_price_move,external_return_5s,external_return_15s,external_return_30s,external_return_60s,momentum,quote_age_seconds,repricing_velocity,repricing_acceleration,spread_compression,book_imbalance,cross_asset_movement,time_to_expiry_seconds,lag_score,polymarket_price_move_after_30s,polymarket_price_move_after_60s,polymarket_price_move_after_120s,polymarket_price_move_after_180s,max_favorable_excursion,max_adverse_excursion,time_to_repricing_seconds,simulated_exit_timestamp,simulated_exit_seconds,simulated_exit_price,simulated_exit_reason,simulated_pnl_before_slippage,simulated_pnl_after_slippage,repriced_favorably,source_session
2026-06-30T19:53:13.302143+00:00,SOL,0x7e28821975565c21b156fc924de69acae1f1a4193b35b74568e6dcbb34f0b97e,YES,0.145,0.855,0.145,0.00095083,0.000950828579190377,0.000950828579190377,0.00149497145963573,0.0017672648178357342,-0.0008164362386453572,3.306143,0.005023338430347385,0.005028732373570628,2.7755575615628914e-17,-0.21728109547479318,0.36,106.697857,0.396179,0.08000000000000002,-0.044999999999999984,,,0.26,-0.12,2.00561,2026-06-30T19:53:15.307753+00:00,2.00561,0.405,repricing_target,0.26,0.24000000000000002,True,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
2026-06-30T21:40:07.303954+00:00,SOL,0xf1fe37266466e5c4ee59bf9af8e9e16d947084e207cf2b7124c7b6d7e85a6134,NO,0.735,0.265,0.265,-0.00068046,0.0,0.0,0.0001362026695723717,0.0002724424465332387,-0.0002724424465332387,3.570954,0.009973371099165238,-0.047607288862764774,-0.0,0.0278612132194936,0.15000000000000002,292.696046,0.283524,0.24,0.12,0.0,,0.33999999999999997,-0.09000000000000002,1.995393,2026-06-30T21:40:09.299347+00:00,1.995393,0.485,repricing_target,0.21999999999999997,0.19999999999999998,True,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
2026-06-30T21:40:09.299347+00:00,SOL,0xf1fe37266466e5c4ee59bf9af8e9e16d947084e207cf2b7124c7b6d7e85a6134,NO,0.515,0.485,0.485,-0.00081655,-0.0008165487207403288,0.0,0.0,0.00013622122326673036,-0.00013622122326673036,3.379347,-0.11025397001994092,-0.06025246210601428,-0.0,0.0178663577027648,0.040000000000000036,290.700653,0.340229,-0.06,-0.09999999999999998,-0.21999999999999997,,0.12,-0.31,10.003392,2026-06-30T21:40:19.302739+00:00,10.003392,0.605,repricing_target,0.12,0.09999999999999999,True,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
2026-06-30T21:40:17.311335+00:00,BTC,0xad3a6302482b57d5b477d07ff896491920510a05ed35f639dc338873cfcda5b0,NO,0.485,0.515,0.515,-0.00061349,-0.00044327745025452003,-0.0004100452737720861,-0.0004100452737720861,-0.0004439591127978204,3.3913839025734305e-05,3.428335,0.0,0.0,-0.0,-0.017892745734963418,0.08000000000000002,282.688665,0.255622,0.05999999999999994,0.12,0.16000000000000003,,0.29000000000000004,0.0,1.991404,2026-06-30T21:40:19.302739+00:00,1.991404,0.745,repricing_target,0.22999999999999998,0.21,True,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
2026-06-30T21:43:19.307593+00:00,SOL,0xf1fe37266466e5c4ee59bf9af8e9e16d947084e207cf2b7124c7b6d7e85a6134,NO,0.625,0.375,0.375,-0.00068046,-0.000272294077603763,-0.0006804572672836073,-0.0005444399074451267,-0.0005444399074451267,-0.00013601735983848062,3.395593,0.0,0.0,-0.0,-0.030580998511980408,0.52,100.692407,0.283524,0.03999999999999998,0.26,,,0.61,0.0,1.993419,2026-06-30T21:43:21.301012+00:00,1.993419,0.465,repricing_target,0.09000000000000002,0.07000000000000002,True,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
2026-06-30T21:43:21.301012+00:00,SOL,0xf1fe37266466e5c4ee59bf9af8e9e16d947084e207cf2b7124c7b6d7e85a6134,NO,0.535,0.465,0.465,-0.00081655,-0.0004084411164057,-0.0004084411164057,-0.0006805498843064361,-0.0005445140212358979,0.00013607290483019785,3.279012,-0.04514856134109285,-0.022648806568560272,-0.0,-0.060249669740478046,0.45,98.698988,0.340229,-0.050000000000000044,0.16999999999999998,,,0.52,-0.07,2.005093,2026-06-30T21:43:23.306105+00:00,2.005093,0.595,repricing_target,0.12999999999999995,0.10999999999999995,True,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
2026-06-30T21:43:25.313033+00:00,SOL,0xf1fe37266466e5c4ee59bf9af8e9e16d947084e207cf2b7124c7b6d7e85a6134,NO,0.555,0.445,0.445,-0.00068046,0.0,-0.00013616557734197343,-0.0005444399074451267,-0.0004083855159268124,0.00027221993858483895,3.424033,0.07474109684054438,0.06954708627960719,-5.551115123125783e-17,-0.03390355054092595,0.49000000000000005,94.686967,0.283524,-0.030000000000000027,0.10000000000000003,,,0.54,-0.04999999999999999,,2026-06-30T21:43:27.307457+00:00,1.994424,0.395,stop_loss,-0.04999999999999999,-0.06999999999999999,False,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
2026-06-30T21:43:37.311380+00:00,SOL,0xf1fe37266466e5c4ee59bf9af8e9e16d947084e207cf2b7124c7b6d7e85a6134,NO,0.605,0.395,0.395,-0.00068046,-0.00013616557734197343,0.0001362026695723717,-0.000272294077603763,-0.0005444399074451267,0.0006806425770174984,3.43838,0.0,0.0,-0.0,-0.0010681588575059066,0.48,82.68862,0.283524,0.45999999999999996,0.18999999999999995,,,0.59,0.0,27.990473,2026-06-30T21:44:05.301853+00:00,27.990473,0.835,repricing_target,0.43999999999999995,0.41999999999999993,True,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
2026-06-30T22:48:47.309839+00:00,ETH,0x67bd58bde7f6956d7ad285ab50dbf1196d46e9b326537086e1f043a762ecd39d,YES,0.485,0.515,0.485,0.00061849,-6.372186679537428e-06,-6.372186679537428e-06,7.647257502263471e-05,0.00027408087297930983,-0.00028045305965884726,3.404839,-0.1944841308429391,-0.09698481320444477,-0.0,0.04851797861167238,0.52,72.690161,0.257703,0.32000000000000006,0.35,,,0.39,-0.08999999999999997,4.00006,2026-06-30T22:48:51.309899+00:00,4.00006,0.595,repricing_target,0.10999999999999999,0.08999999999999998,True,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
2026-06-30T22:51:05.311976+00:00,SOL,0x3fa478085da680fdfc2755ea74a201845fd372214f08b3cb1ec78469d2a7cd25,NO,0.535,0.465,0.465,-0.00081677,-0.000680735194009463,-0.000680735194009463,-0.0002724053391446324,-0.0008167710318539578,0.0001360358378444948,3.510976,0.0,0.0,-0.0,0.01703714260810974,0.050000000000000044,234.688024,0.340321,0.37999999999999995,0.38999999999999996,0.46,,0.47000000000000003,0.0,1.991762,2026-06-30T22:51:07.303738+00:00,1.991762,0.785,repricing_target,0.32,0.3,True,D:\ForgeViewAI\polymarket\runs\repricing_paper_soak_v3\20260630_185243\v5_sessions\20260630_185243\session.jsonl
